term_en,description_english,description_arabic,term_arabic
JURY,A group of citizens picked according to law and authorized to decide a case.,مجموعة من المواطنين تم اختيارهم قانونياً ومخولون بحكم قضية.,هيئة المحلفين
JURY BOX,The specific place in the courtroom where the jury sits during the trial.,مكان محدد في المحكمة - الكراسي الخاصة لهيئة المحلفين للجلوس فيها أثناء المحاكمة.,مقاعد هيئة المحلفين
JURY COMMISSIONER,The local official responsible for giving the court lists of qualified potential jurors.,مسؤول محلي مسؤول عن تقديم القوائم للمحكمة بأسماء المواطنين المؤهلين للخدمة كمحلفين.,مفوض هيئة المحلفين
JURY FOREMAN,The juror who is in charge of the jury during deliberations and speaks for the jury in court when announcing the verdict.,العضو المسؤول في هيئة المحلفين خلال التداولات، وبتحدث باسم هيئة المحلفين في تجمع للإعلان عن القرار.,رئيس هيئة المحلفين
"JURY, HUNG",A jury which is unable to agree on a verdict after a suitable period of deliberation.,هيئة محلفين تعجز عن الاتفاق على حكم بعد فترة مناسبة من التداولات.,هيئة محلفين متعثرة
JURY INSTRUCTIONS,Directions that the judge gives the jury right before they decide a case. They tell the jury what laws apply to that particular case.,تعليمات القضاة لهيئة المحلفين يعطيهم إياها مباشرة قبل أن يصدروا حكمهم في القضية. يخبرهم بالقوانين التي تنطبق على القضية.,تعليمات هيئة المحلفين
FORCIBLE AND ATROCIOUS CRIME,"Any felony that by its nature and the manner of its commission threatens, or is reasonably believed by the defendant to threaten life or great bodily injury so as to instill in him a reasonable fear of death or great bodily injury. Murder, mayhem, rape, and robbery are all forcible and atrocious crimes.",جريمة شديدة وفظيعة - أي جناية تهدد بطبيعتها وطريقة ارتكابها الحياة، أو يُعتقد بصورة معقولة من قبل المتهم أنها تهدد بإصابات جسمية خطيرة بحيث تبث فيه خوفًا معقولًا من الوفاة أو تلك الإصابات الجسمية الخطيرة. القتل والتشويه والاغتصاب والسرقة كلها جرائم شديدة وفظيعة.,جريمة شديدة وفظيعة
FORCIBLE ENTRY AND DETAINER,Ordinarily refers to a summary proceeding for restoring possession of land to one who has been wrongfully deprived of possession.,الدخول بالقوة والاحتجاز - يُشير عادة إلى إحدى الإجراءات السريعة لاستعادة ملكية الأرض لمن أُفقد حيازتها بطريقة غير عادلة.,الدخول بالقوة والاحتجاز
FORECLOSURE,Procedure by which mortgaged property is sold on default of the mortgagor in satisfaction of mortgage debt.,الإغلاق التنفيذي - الطريقة التي يُباع بها العقار المرهون حين تقصير المرتهن في سداد دين الرهن.,الإغلاق التنفيذي
FORFEIT,"To lose, or lose the right to. In Traffic - to forfeit license after an implied guilty plea and pay total bail to close a case.",تقديم - خسارة شيء، بمعنى خسارة الحق في شيء. تنازل عن الترخيص بعد الاعتراف الضمني بالذنب ودفع الكفالة الكاملة لإغلاق القضية.,تقديم
FORFEITURE,When a person must give up money or property because he or she didn’t meet a legal obligation. (See also BAIL FORFEITURE.),حجز - عليه أن يفقد شخص مبلغ من الأموال سبب عدم إيفائه بإلتزام قانوني. يراجع أيضًا حجز الكفالة.,حجز
FORGERY,The act of claiming one’s own writing to be that of another.,تزوير - يقصد به تبني شخص رجم الخط بدال الآخر.,تزوير
FORMAL PROBATION,Court-ordered terms and conditions upon a defendant instead of a sentence. Formal probation involves supervision of the defendant by a probation officer. Summary probation involves no probation officer; the defendant is responsible directly to the court.,اختبار رسمي - يعطى للمدعى عليه مكتوب يحتوى بعض التوجيهات والشروط بدل الحكم عليه. يشمل الاختبار الرسمي إشراف ضابط الاختبار. في حين لا يتضمن الاختبار الإجمالي وجود ضابط اختيار، والمدعى عليه مسؤول مباشرة أمام المحكمة حينذاك.,اختبار رسمي
FORUM NON CONVENIENS,A doctrine patterned upon the right of the court in the exercise of its equitable powers to refuse the imposition upon its jurisdiction laid if it appears that for the convenience of litigants and witnesses the action should be instituted in another forum where the action might have been brought.,المنتدى غير الواقع - هذه مبدأ تقوم على حق المحكمة في جزيل اقتدار المنصف يمنع فيه إلزامها بحكم بقضية، إذا رأت أن من على حسب أفضله أن يقدم في المنتدى الفضل، والقادر للإحاطة بأغلب الدارة إلحاقي بصفتهم.,المنتدى غير الواقع
FOSTER CARE,"A program that gives money to a person, family, or institution to raise someone else’s child.",تقديم الرعاية (الأولى) - برنامج يعطي نقودَ لشخصٍ، أسرةٍ، أو مؤسسة لتربية طفل غير الخاص.,تقديم الرعاية
FOUNDATION,"In a trial, a foundation must be laid to establish the basis for the admissibility of certain types of evidence. For example, an expert witness’s qualifications must be shown before expert testimony will be admissible.",أساس - في المحاكمة، يجب بناء الأساس لإثبات قاعدة قبول أنواع معينة من الأدلة. مثلا: يجب بيان مؤهلات الشاهد الخبير قبل أن يكون بإمكانه رفع أقوال شهادته.,أساس
CASE ID,Identification number given to case by the court.,رقم القضية: الرقم الذي تُعطيه المحكمة للقضية.,رقم القضية
CASE LAW,Law made by earlier decisions in similar cases.,قانون الأحكام/السوابق: قانون يعتمد في قرارات القضايا بناءاً على قرارات مماثلة.,قانون الأحكام/السوابق
CASELOAD,The number of cases a judge has in a specific time.,عبء القضايا - عدد القضايا التي يقوم القاضي بالنظر فيها في وقت معين.,عبء القضايا
